CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,67,19,14
12,Female,35,19,99
13,Female,58,20,15
14,Female,24,20,77
15,Male,37,20,13
16,Male,22,20,79
17,Female,35,21,35
18,Male,20,21,66
19,Female,52,23,29
20,Female,35,23,98
21,Male,35,24,35
22,Male,25,24,73
23,Female,46,25,5
24,Male,31,25,73
25,Female,54,28,14
26,Female,29,28,82
27,Male,45,28,32
28,Female,35,28,61
29,Male,40,29,31
30,Female,23,29,87
31,Male,60,30,4
32,Female,21,30,73
33,Female,53,33,4
34,Male,18,33,92
35,Female,49,33,14
36,Female,21,33,81
37,Male,42,34,17
38,Female,30,34,73
39,Female,36,37,26
40,Female,20,37,75
41,Male,65,38,35
42,Female,24,38,92
43,Male,48,39,36
44,Male,31,39,61
45,Female,49,39,28
46,Male,24,39,65
47,Female,50,40,55
48,Female,27,40,47
49,Male,29,40,42
50,Female,31,40,42
